split,model,fold,accuracy,macro_f1,roc_auc,pr_auc,tn,fp,fn,tp,n,n_pos,n_neg
homology,cnn1d,val,0.878864,0.878533,0.954210,0.955306,1324,268,120,1491,3203,1611,1592
homology,cnn1d,test,0.865015,0.864810,0.942351,0.946530,1334,273,163,1460,3230,1623,1607
random,cnn1d,val,0.913152,0.913151,0.971004,0.971823,1455,144,134,1468,3201,1602,1599
random,cnn1d,test,0.920312,0.920303,0.974900,0.977200,1455,144,111,1490,3200,1601,1599
random_scored_by_homology_cnn,cnn1d,test,0.921250,0.921176,0.976142,0.977354,1425,174,78,1523,3200,1601,1599
