split,model,fold,accuracy,macro_f1,roc_auc,pr_auc,tn,fp,fn,tp,n,n_pos,n_neg
homology,logreg,val,0.849516,0.849515,0.913736,0.909393,1356,236,246,1365,3203,1611,1592
homology,rf,val,0.876054,0.876023,0.951349,0.954041,1378,214,183,1428,3203,1611,1592
homology,logreg,test,0.837461,0.837448,0.901569,0.911257,1367,240,285,1338,3230,1623,1607
homology,rf,test,0.873375,0.873350,0.951482,0.954223,1388,219,190,1433,3230,1623,1607
random,logreg,val,0.861606,0.861597,0.927859,0.927853,1392,207,236,1366,3201,1602,1599
random,rf,val,0.908154,0.908134,0.975814,0.977048,1430,169,125,1477,3201,1602,1599
random,logreg,test,0.874687,0.874681,0.938433,0.939463,1411,188,213,1388,3200,1601,1599
random,rf,test,0.923125,0.923101,0.979129,0.980445,1449,150,96,1505,3200,1601,1599
